time,r104_room_temp,r104_thermostat_outside_temp,r104_supply_discharge_temp,r104_airflow_current,r104_damper_position,output
2021-07-28 22-29-00,73.80000305,66.8,73.52666778,257.3333333,46.39999949,74.59999847
2021-07-28 22-44-00,74.59999847,66,74.62666728,294.8666667,49.76842143,74.40000153
2021-07-28 22-59-00,74.40000153,66,74.32000173,255.5333333,47.95789515,72.80000305
2021-07-28 23-14-00,72.80000305,66,69.82666779,292.1333333,47.11578827,73.20000458
2021-07-28 23-29-00,73.20000458,65.06666667,71.31333466,268.2666667,45.4736824,72.80000305
2021-07-28 23-44-00,72.80000305,64.6,70.90666809,266.6666667,45.4736824,72.59999847
2021-07-28 23-59-00,72.59999847,63.86666667,69.32000173,269.2666667,45.4736824,72.5
2021-07-29 00-14-00,72.5,63.93333333,70.35333455,265.2,45.4736824,71.90000153
2021-07-29 00-29-00,71.90000153,64,67.70666758,265,45.4736824,75.20000458
2021-07-29 00-44-00,75.20000458,64,84.78000132,253.4666667,49.43157908,74
2021-07-29 00-59-00,74,64,73.0666687,182.9333333,72.35087789,72.80000305
2021-07-29 01-14-00,72.80000305,64,70.77333476,271.6,95.09473623,73.09999847
2021-07-29 01-29-00,73.09999847,64,72.14666901,322.9333333,46.14035136,72
2021-07-29 01-44-00,72,64,68.54000092,296.5333333,41.24210587,71.5
2021-07-29 01-59-00,71.5,64,66.69333445,257.4666667,38.42105306,71
2021-07-29 02-14-00,71,64,64.89333547,306.9333333,35.76842168,70.70000458
2021-07-29 02-29-00,70.70000458,64,64.03333257,287.4,33.78947449,71.70000458
2021-07-29 02-44-00,71.70000458,64,68.57333476,232,46.3789477,73
2021-07-29 02-59-00,73,64,74.00666758,191.8,71.20701726,71.70000458
2021-07-29 03-14-00,71.70000458,64,70.03333486,263.7333333,93.45263061,72.40000153
2021-07-29 03-29-00,72.40000153,64,71.32666779,218.4666667,71.98596446,75.70000458
2021-07-29 03-44-00,75.70000458,64,89.87333425,258.5333333,91.84561412,73.90000153
2021-07-29 03-59-00,73.90000153,64,72.24000091,243.2,59.43157908,72.80000305
2021-07-29 04-14-00,72.80000305,64,71.92000071,154.6666667,95.41052653,71.90000153
2021-07-29 04-29-00,71.90000153,64,67.38000132,328.8666667,62.0771932,71.09999847
2021-07-29 04-44-00,71.09999847,64,65.60666758,302.5333333,45.78947271,70.80000305
2021-07-29 04-59-00,70.80000305,64,64.10666835,286.5333333,36.58947246,70.59999847
2021-07-29 05-14-00,70.59999847,64,63.79333318,259.9333333,39.07368393,70.30000305
2021-07-29 05-29-00,70.30000305,64,63.80666733,292.1333333,37.93684209,70.20000458
2021-07-29 05-44-00,70.20000458,64,63.64666723,257.3333333,38.77894745,69.90000153
2021-07-29 05-59-00,69.90000153,64,63.63333384,299,38.61052653,70.80000305
