time,r104_room_temp,r104_thermostat_outside_temp,r104_supply_discharge_temp,r104_airflow_current,r104_damper_position,output
2021-07-30 11-14-00,75.59999847,74.0,88.43333537,329.1333333,51.19999949,73.70000458
2021-07-30 11-59-00,72.09999847,69.0,67.26000163,341.4666667,46.89122721,73.90000153
2021-07-30 12-29-00,73.70000458,65.2,73.26666768,318.8666667,81.40350876,72.90000153
2021-07-30 12-59-00,71.90000153,62.66666667,67.81333466,308.5333333,85.53684184,72.20000458
2021-07-30 13-29-00,72.30000305,62.0,70.64000092,312.4666667,83.42456156,72.30000305
2021-07-30 13-59-00,71.90000153,62.0,68.56000214,341.6,75.57192968,75.59999847
2021-07-30 14-44-00,72.20000458,63.93333333,68.71333516,347.6666667,40.43508733,71.80000305
2021-07-30 15-14-00,71.20000458,63.6,64.22666804,289.5333333,36.14736811,71.09999847
2021-07-30 15-59-00,72.20000458,64.0,70.12666779,301.7333333,46.09122747,71.59999847
2021-07-30 16-14-00,71.59999847,64.4,69.00666809,292.5333333,49.37543869,71.09999847
2021-07-30 17-14-00,71.0,67.6,66.4800003,282.4666667,39.03157908,70.90000153
2021-07-30 18-44-00,72.20000458,67.0,69.49333496,317.3333333,42.49122696,71.59999847
2021-07-30 20-44-00,73.59999847,64.13333333,73.51333517,333.1333333,71.17894669,74.09999847
2021-07-30 21-14-00,73.90000153,63.0,74.11333466,311.8,78.14736837,74.30000305
2021-07-30 21-44-00,72.0,63.0,68.02000122,325.0,43.99298274,71.59999847
2021-07-30 22-29-00,72.0,62.06666667,69.50000203,305.8,48.98947372,73.09999847
2021-07-30 23-14-00,73.90000153,61.6,75.44666799,311.4,81.95087789,74.40000153
2021-07-30 23-44-00,72.59999847,61.0,70.49333496,335.6666667,67.85263214,72.80000305
2021-07-30 23-59-00,72.80000305,61.0,71.98000132,292.1333333,47.68421097,71.90000153
2021-07-31 00-44-00,72.70000458,60.86666667,71.45333608,320.6,74.77192891,72.5
2021-07-31 01-14-00,71.09999847,60.0,67.24000142,315.3333333,39.12982559,70.5
2021-07-31 01-59-00,71.90000153,59.06666667,71.46666921,311.3333333,46.29473623,73.59999847
2021-07-31 02-29-00,73.30000305,59.0,73.17333578,302.9333333,50.96842041,71.30000305
2021-07-31 02-44-00,71.30000305,59.0,68.38000132,281.6666667,42.16842067,70.80000305
2021-07-31 02-59-00,70.80000305,59.26666667,65.99333496,292.1333333,45.49473699,70.30000305
2021-07-31 03-44-00,70.59999847,58.93333333,67.04666901,315.8,78.21052678,70.80000305
2021-07-31 04-14-00,73.59999847,59.0,98.89333497,305.8666667,83.13684184,75.59999847
2021-07-31 04-44-00,72.20000458,59.0,68.38666738,294.0,38.71578954,71.59999847
2021-07-31 05-14-00,70.80000305,59.0,64.8933342,301.4,39.26315791,70.5
2021-07-31 05-44-00,70.20000458,59.0,64.8333341,318.4666667,47.30526327,69.80000305
2021-07-31 06-59-00,70.09999847,59.93333333,65.48000234,302.3333333,48.72982407,70.59999847
2021-07-31 07-29-00,70.59999847,60.86666667,66.74000193,294.2666667,58.00000026,70.90000153
2021-07-31 08-59-00,72.90000153,68.0,71.84666799,317.7333333,45.501754,74.40000153
2021-07-31 09-44-00,72.90000153,71.0,70.33333486,323.8,74.28771922,73.30000305
2021-07-31 10-29-00,74.0,72.86666667,73.86666717,317.4666667,55.04561437,73.80000305
2021-07-31 11-59-00,73.20000458,66.6,71.65333557,320.5333333,69.05964864,74.40000153
2021-07-31 12-29-00,74.20000458,64.33333333,73.57333476,336.8,66.37894694,72.40000153
2021-07-31 12-44-00,72.40000153,64.0,68.83333486,321.3333333,41.57192968,71.80000305
2021-07-31 13-29-00,72.90000153,64.0,71.96000214,291.2666667,52.4842102,72.20000458
2021-07-31 13-44-00,72.20000458,66.2,70.0266688,297.2,44.56140417,71.70000458
2021-07-31 14-44-00,72.80000305,73.8,70.24000193,307.4,44.65263112,72.20000458
